"","author","date","source","text","year","linked_progress","linked_hurt"
"1","Lopez, Flora",1976-04-30,"International Examiner","







S.P.I.C.E. is a nutritional program operated by the International Drop-In Center located at 610 S. Weller to ""stretch"" the low income of the elderly living within and around the International District, and to help avoid malnutritronal problems. S.P.I.C.E., a federally funded project supervised by the King County nutrition program, offers an inexpensive lunch, 65 cents for senior citizens and $1.50 for other participants on a first come first served basis.


""This program was conceived from a proposal written about four months ago when forming the Filipino Senior Citizen's Club,"" says Ben Rafanan, director of the IDIC. ""The lunch program will be a permanent part of the center, and is open to the public.""


The IDIC is staffed with a professional cook and dieticians who co-ordinate and plan the meals. Rafanan says, ""There is enough food for 40 people but 50 come so we supplement it with Filipino food."" Meals are served Monday through Friday from 11:30 to 12:30 with a different menu every day.


When asking an elderly gentleman whether he liked his food he said, ""Sure, otherwise I wouldn't be down here eating.""


Regular IDIC lunchers like the program because less spice is better for their health. As one gentlemen put it, ""There's no Filipino food in the menu, so they call it SPICE."" A Beacon Hill resident saw it another way, ""The lunch is good because they only charge 65 cents."" Another elderly gentleman declared, ""As long as Mrs. Mendoza cooks, I come down every day, the food is good.""



","1976",1,0
"2","",1976-09-30,"International Examiner","







Community control rather than commercial control of parking is the theme of the new International. District parking program spearheaded by some members of the International District Economic Association (IDEA). The program, which regulates the use of parking lots during evening, weekend and stadium event hours, is designed to make sure that residents, employees and patrons of the ID find parking spaces within the District.


In addition, Stadium patrons will be charged to park in the spaces in the District, rather than taking up District parking spaces without paying.


Glenn Chinn, coordinator of the program, stated that 85 to 90 residents and employees of the district have signed up to rent monthly parking in the lots during evening and weekend hours Chinn said there are about 200 available spaces in six lots in the area. Included are the SeaFirst Bank, Rainier Bank, 7th Avenue Service, Uwajimaya, Officemporium and United Savings parking lots.


Restaurant and hotel owners are also signing up to rent spaces for their customers.


The main thrust of the program is to charge only enough to operate the program, with all excess profit going to the community, according to Chinn. He stressed that the program is non-profit, contrasted with commercial parking management programs which seek a profit. The program is cooperatively run by the member businesses.


The Interim lot under the freeway may also be added to the program, but final details have not yet been worked out.


Chinn said that residents and employees of the District can still sign up for parking spaces between 6 pm and 8 am. The charge is $7/month. A few daytime spaces are also available for $9 per month.


The parking group is also trying to develop a pool of people to run the program, especially those willing to work for four hours on Stadium days. The pay scale is variable, but a minimum of $3.50 per hour will be paid to the parking attendants.


Chinn said the program has been successful so far. They are also considering a validation system in which customers of ID stores can obtain free parking by validating a ticket with a purchase of goods.


To sign up for spaces call 624-6248.



","1976",0,0
"3","",1976-06-30,"International Examiner","







""Peasants of the Second Fortress,"" a film depicting the struggle of Japanese peasants against an airport development which would deprive them of farming and, will be shown at 526 S. Jackson St. Sunday, June 27 at 1 p.m. The film, made in 1971, will be presented by the Sanrizuka Support Committee. It is about 2 1/2 hours long and admission is complimentary.


The airport project was started in June, 1966, but has been held up because of the joint efforts of peasants, workers and students in building fortresses, sabotaging government construction and resisting the military police who have tried to remove farmers from their land.


Two 10-story iron towers have been built by the peasants, making plane landing and take-off impossible. The airport was planned with longer runways than the Haneda airport to accomodate American B-52 bombers during the Viet Nam war.


The film will also be shown at Guggenheim Hall at the University of Washington, Friday, June 25 at 7:30 p.m., with the Asian Student Association as cosponsor, and Saturday, June 26 at Blaine Memorial Church, 3001-24th S. at 7:30 p.m.


The black and white film has English subtitles and is released by Ogawa Productions, a Japanese film company.



","1976",0,1
"4","Chin, Doug",1976-10-31,"International Examiner","







Much of what is now the International District or Chinatown was once covered with tideflats. That was over 65 years ago, before the city decided to regrade Jackson St. and fill in the tideflats.


Water came up as far as Ninth Ave. and Jackson St. at one time. The shoreline was apparently stretched outward into the bay as the tideflats were filled. Just before the regrade in 1907, the tideflats went up to Fifth Ave. and Lane Street, and curved around old Beach Road to the foot of Beacon Hill.


Above Eighth Ave. was a very steep hill. On the southeast corner of Ninth and Jackson stood Holy Names Academy The academy was moved because of the regrade project.


High as Beacon Hill


The top of the hill, along Twelfth Ave., was nearly as high as the top of Beacon Hill with only a small slope at Dearborn Ave. (presently the Twelfth Ave. Bridge) connecting the two hills.


The terrain made it difficult for farmers in Rainier Valley to bring their produce to downtown markets.


""Some farmers used to go around Auburn to get to town,"" said Ward Collier, city engineering specialist who made films about Seattle's regrade projects.


R.H. Thomson, city engineer at the time, considered building a tunnel through Beacon Hill. He chose to regrade Jackson instead, Collier said, because it was less expensive and would benefit the area more than the tunnel project.


Jackson Regrade largest


Collier pointed out that there were 62 regrades in the city. He said that the Jackson Street Regrade was the largest at the time. ""It extended all the way south to Lander St. and westward to Alaskan Way,"" said Collier.


The proposed plan called for a 90-foot cut at Ninth and Jackson, where the freeway now stands. According to Bill Spiedal, editor of Seattle Guide, ""you can put an eight-story building on top of the freeway...that was how high the hill was.""


In 1907, Lewis and Wiley Company was contracted for the project. A young civil engineer, W.C. Morse, informed Lewis, an eastern-trained lawyer and property owner in Rainier Valley, of the hydraulic method of regrading. He advised Lewis to begin an excavating company. Lewis did so -- under Morse's supervision.


Dearborn regraded


Shortly after the Jackson regrade began, the city also decided to regrade Dearborn. The plan was to cut out the Dearborn street slope and to replace it with a bridge to connect Beacon Hill with Jackson Street, which they did.


The entire project was a gigantic undertaking. According to a report by the Seattle Engineering Department, five and three-quarter miles of street or 56 city blocks were involved in the project.


""The greatest cut was 85 feet at Ninth Ave. and Jackson St., the grade of Jackson St. was reduced from 15 16% to 5.04%; and the street was widened from 66 feet to 96 feet. Grades on the streets to the north of Jackson were left steep but to the south they were brought down to 7.25% at the maximum on Weller St. and correspondingly on the other streets.""


Hill of clay


The hill was composed mostly of hard blue clay with little rock formation. The clay would shatter with only light blasting. A method called ""sluicing,"" using a water hose with added air pressure from a pipe connected to the nozzle, was used.


Water for the sluicing first came from Jefferson Park Reservoir. Later, pumping stations on Lake Washington and at the foot of Connecticut St. were added. The sluicing operation was carried to within a foot of the finished grade, the report said. The final grading was done with ""horse-drawn scraper.""


The pumps used on the sluicing operations were like those used on the Denny Regrade, the largest re-surfacing project in the city. The pump operators were veterans from Alaskan hydraulic mining operations.


""The process of mixing water and earth and various soils, and keeping the face of the excavation and the pipe lines open and full to capacity,"" the report said, ""was an interesting sight that brought full galleries of 'sidewalk superintendents.'""


Completed by 1910


By 1910, much of the regrade project was completed. According to the contractor, ""1,810,659 cubic yards of earth had been excavated and 1,252,688 cubic yards had been filled.""


The project, understandably, was not without problems. Sanitation in the district worsened with the filling of the tideflats because the drain and sewers got plugged. In addition, ""many of the buildings rested almost on the ground and had flooded during high tides,"" the report said. ""Some were raised on blocks and filled underneath.""


The regrade also created problems for some Japanese merchants on Main St. According to a 1909 article in Coast Magazine by the Japanese Consulate in Seattle, some of the merchants had to move their businesses down to Weller St.


Immediately after King St. was completed, a Chinese investment group, led by Goon Dip, honorary Chinese consulate and a wealthy businessman, built two large buildings on the south side of King, between Seventh and Eighth. Chinese businesses, including the Wa Chong and Yick Foon (which is still there), opened stores there in 1911. And the development of the present Chinatown or King Street core had begun.


According to Clarence Bagley, historian, the entire Jackson regrade project was completed in 1914.


Photo (A 1915 photo shows the new Jackson St. after the regrade at the corner of 8th and Jackson looking South. Empty lot at right is now Officemporium.)



","1976",0,0
"5","Chow, Ron",1976-02-29,"International Examiner","







International District Housing Alliance members -- who met with Mayor Wes Uhlman January 29 -- were unsuccessful in persuading the City to recommend to the Department of Housing and Urban Development (HUD) that 200 housing units be given to the ID under a federal rent subsidy program.


The Alliance is comprised of business persons, residents and community organizations.


Mitsue Doniego of the Housing Alliance presented the Mayor with over 1600 petition signatures to support an International District receipt of 200 housing units under the Section Eight Housing Assistance Program. Low income tenants pay only 25 per cent of the rent in housing units subsidized by Section Eight money.


Uhlman was told by a local HUD official that an additional 2,000 units might be made available to the region encompassing Seattle.


Phil Sherburne, from the Office of Policy Planning, told representatives from the International District that a Presidential proposal, calling for the 2,000 units, has not yet been acted upon by Congress. The proposal would quadruple the number of units available under Section Eight funds. Sherburne said.


The Mayor said, ""Our city lobbyist is back there at the present time and they just had a meeting with HUD.""


The Housing Alliance charges the ID was discriminated against in the last round of Section Eight fund allocations. At that time the District received only 24 rehabilitated units out of an available 308.


The City's original recommendation was for 99 units.


Elaine Ko, of the International District Improvement Association (Interim), told the Mayor that he was not taking the ""strong advocate role"" that he should in the area of housing. She said representatives from the District should not have to go up to the Mayor's office with every grievance.


Ko asked Uhlman for a specific commitment and response to the demand that 200 units be given to the ID.


""It would be improper to do at this point,"" Uhlman said.


Uhlman said, ""We have a responsibility for other parts of the city too."" The Mayor said that, because of a trend over the last 60 years, there is a ""very, very severe concentration of poor people in one part of the city."" One of the City's goals, he said was to try to disperse the living opportunities into all parts of the City.


Ben Rafanan, International Drop-In Center director, told the Mayor. We are always put in the background. We are always getting the crumbs of the money. We want the City to make a commitment.""


The International District is only asking for a fraction of the housing needed. Rafanan said. He pointed out that the International District has always been a residential area. The residents ""feel secure in the District,"" Rafanan said.


Housing Alliance members pointed out that the City uprooted many people in the District when it passed the Ozark Fire Ordinance. The City is responsible for the housing crisis. Housing Alliance members charged.


Uhlman responded, however, by saying that people had to feel secure from the hazard of fire. He said the City has tried to deal ""sensitively"" with enforcement of the Ordinance.


""We just hate to go in there and wash the people out into the streets,"" Uhlman added.



","1976",1,0
"6","",1976-09-30,"International Examiner","







Since March, a group of Asian attorneys and law students have been providing legal counseling services at Interim, 627 S. Jackson, on Tuesday and Thursday afternoons. The attorneys, Diane Wong and Anthony Lee, are from Legal Services Inc. The students are from the University of Washington.


Gary Iwamoto, law student said, ""The legal services program in the International District was started because of the lack of accessibility between the law and the Asian community. A definite void exists in the community in that most folks don't know what their rights are. The program is intended to breach this void."" Iwamoto added that because Asians did not go into the legal profession, there were very few the Asian community could call their own.


The program was started by Tony Lee and Bob Yamagiwa. The law students are donating their time.


In the six months that services have been provided, a variety of legal problems have arisen. Iwamoto said most are in immigration. He said, ""Immigrants have been treated very harshly by the US legal system. As compared to citizens and permanent residents, immigrants, treated as 'aliens,' have very few rights. Constantly hassled by the Federal Bureau of Immigration, faced with the countless number of forms that have to be filled out, immigrants always live with the fear that they are doing something that will get them deported."" Bob Yamagiwa, former legal service attorney now in private practice, has been handling most of the immigration cases that have come into Interim.


Types of Cases


Other types of cases Include landlord-tenant problems, social security, labor contract problems, discrimination, and divorce. Iwamoto said that several divorce cases are very much connected to immigration. The client is usually a female immigrant who married an American citizen. Problems developed after she came to this country. She feels her husband is mistreating her. Most of these clients wish to remain in this country. But if the client divorces her husband, she is no longer legally married to an American citizen. The ultimate problem is that the client faces deportation. At this point, the intervention of an attorney becomes necessary to fight for the clients' right to stay in the US.


Another such area is landlord-tenant relations. Tenants often feel that they are powerless in the event that the landlord wants to kick a tenant out. The general rule is that the landlord cannot evict a tenant without good cause unless adequate notice is given. Most tenants do not know what limitations exist in the law to curb the power of the landlord to evict.


In some cases, said Iwamoto, people with legal problems come in too late for us to do anything about it. ""The goal of our program is to inform and encourage people to know their legal rights.""


Service Limitations


Iwamoto said there are some limitations to the services provided. First of all, only the attorneys are qualified to handle cases which will end in court. Because the two attorneys are from Legal Services, they are bound by Legal Services guidelines. These guidelines severely restrict the types of clients which the attorneys can handle. Basically, the guidelines reflect income levels. Only poverty level clients are qualified. A qualified client can only make $208 a month, including assets (bank account, worth of car and home, etc.) with allowances made for each dependent. The purpose of these guidelines, according to attorney Tony Lee, is to restrict the availability of the services to people who cannot, by any means, afford a private attorney. Lee added that the guidelines are, in effect, unfair to people of moderate incomes who also cannot afford private attorneys.


However, Iwamoto emphasized that this does not preclude people from coming in and asking for legal advice. Legal counseling is available. Iwamoto told about one case where the client who came in had suffered eye damage when a boy threw a penny in her eye. The accident happened 3 years ago in California. The client happened to be in an area where a group of boys were playing.


After the accident occurred, the boy promised to pay for any treatment resulting from the damage to the client's eye. Legal Services does not handle personal injury suits. In addition, her income was too high. However, the client was advised that she had a legitimate complaint and to contact the boy in California and was referred to an attorney in California. The end result was that the client collected $500. Iwamoto said it was a small victory but a victory nonetheless.


Don't Hesitate


Iwamoto said that if anyone has a legal problem, they should not hesitate. All potential clients will be interviewed before the attorneys make the decision that their income is too high. If that is the case, the attorneys will give the client advice on what to do and refer the matter to another party.


According to Diane Wong, legal services attorney, the group plans to expand the project. One goal is to get more Asian law students interested in the project. Students can get valuable experience in interviewing techniques, identification of legal problems, plus a better feel for the community.


Another long range goal is to conduct workshops in the community on various aspects of the law. The group feels that it has expertise in the areas of discrimination, welfare, landlord-tenant, and immigration and is prepared to hold informational workshops.


Formed Association


Iwamoto added that the Asian attorneys and law students in Seattle have formed an organization, the Asian Legal Association. The purpose of this group is to address the legal needs of the community. There are about 40 Asians in the legal profession (attorneys and law students) in Seattle.


Tony Lee added that the group of people connected with the legal services program, Diane Wong, Bob Yamagiwa, Rod Kawakami, Willon Lew, Michael Marr, Iwamoto, and himself, wish to acknowledge the support to the Inter*im staff for its cooperation in getting the program started and for allowing the group to utilize the Inter*im facilities.


Photo (Tony Lee and Gary Iwamoto provide legal aid to Asians.)



","1976",1,1
"7","Nihei, Judi",1976-11-30,"International Examiner","







The Asian-Pacific American Political Caucus endorsed Jimmy Carter over Gerald Ford in the recent presidential election. On January 20, 1977, Jimmy Carter will be sworn in as President of the United States.


There seems to be a consensus among caucus members questioned by the Examiner. They see the Carter election as a step in the right direction, but not as an end in itself. Carter was endorsed, caucus members say, because he was the candidate who officially recognized Asians and their status as a minority group. He was the first candidate with Asians as an integral part of his national campaign. During one of the Ford-Carter debates, Carter made specific mention that consideration must be made for those for whom English is a second language.


Caucus member Arlene Oki said the caucus must continue to monitor Carter to see that he follows up on specific issues that relate to Asian Americans. Carter had said that he would see to the development of a minority talent bank. He has recognized a possible pardon for Iva Toguri and relocation reparations as issues. The caucus wants to see more Asians on significant commissions. Caucus members say Carter has recognized this need. Presently, for example, there are no Asians with either the Department of Health, Education and Welfare's Office for Civil Rights or the committee which sees to the needs of the Vietnamese refugees.


Caucus member Lois Hayasaka stated there was no great enthusiasm for Carter, but there was enthusiasm for a change.


There will be a meeting to discuss the future of the caucus on Tuesday, November 23, at 8 p.m. It will be held at the Japanese Baptist Church, 901 E. Spruce St. All interested are invited to attend.



","1976",1,0
"8","",1976-10-31,"International Examiner","







Ed. Note -- The Examiner has initiated a guest column. This month, Alan Kurimura, a legislative aide to City Councilman George Benson, gives his views on Asian Americans and the political process, Kurimura has been active in the Asian Community for several years.


In this bicentennial year and on the eve of yet another general election, the Asian community should reflect upon its historic participation in the political process and future courses of action (or inaction).


In the past our needs and aspirations have not been adequately transmitted or reflected in public decision-making. We have never been encouraged to participate in the political process beyond requests for political contributions to ""candidate X who will best serve us."" Giving funds to a particular party or candidate is generally accepted as a way to participate, but we can not limit ourselves to voting and contributing money. Effective participation in the political process requires continual, long term commitments.


We must learn how the process works and where we can be most effective. Individuals seeking public office and both of the major parties must know who we are before we can expect that they will respond to, or at least listen to our requests and demands.


For too long the Asian community in Seattle has been identified with the International District/Chinatown and specific projects which involve us. The Mayor and City Council and other local officials must come to recognize that we are not willing to give our vote and dollar for their support of a particular I.D. project. They must recognize that we also care about public policy decisions which are not directly related to the I.D. they must recognize the need to consider our points of view when they are determining the level of funding for the Parks and Recreation Department or negotiating with public employment unions on pay scales and work force levels.


We can never totally isolate I.D. matters from other decisions made on apparently unrelated subjects. The level of funding for the Parks and Recreations. Department can impact the I.D. (a reduced budget could lead to reduced maintenance of the parks in the I.D.) and work force level decisions can impact Asian public employees (cutting the work force needs in the Engineering Department could lead to a layoff process which, according to union contracts, means layoffs on a seniority basis, and how many Asians are at a management level with sufficient seniority to avoid being bumped to a lower staff level?).


I think we must begin actively participating in the political process. Initially it might be best to limit our efforts to a particular level of government. If this strategy is adopted a critical question is -- which level? What level of government appears most capable of responding to us? And where are our best chances of organizing interest for such an endeavor within our communities? My choices would be city government and state legislative races. The first appears most able to respond to us and the second requires the least amount of financial support and can be focused on specific districts with high percentages of Asians.


Once we have determined where to focus our efforts we can begin to organize. A voter registration drive and a means of critiquing candidates and monitoring officeholders are all essential. Also important are ways of maintaining contact with office holders, and a method to communicate with all components of the Asian communities must be developed Each of us should also have access to an organization which can be used to transmit our needs and demands through the political process.


I could go on with my perceptions and ideas of why and how we can improve our participation in the political process, but that should await responses from Examiner readers. I hope my ramblings have spurned some thought and feelings on a matter which I believe is critical to all of us.



","1976",1,0
"9","Iwamoto, Gary",1976-01-31,"International Examiner","







The Chong Wah Benevolent Association has long been a major force in this community's affairs. Founded in the early part of this century, Chong Wah was formed to promote co-operation and self-help among Seattle's Chinese people.


In the beginning, Chong Wah served to bring the Chinese people together. At that time, there was no Chinese community to speak of. In fact, the name ""Chong Wah"" means ""Chinese."" Racism and discrimination were rampant -- exclusionary laws, anti-Chinese riots, and overall hostility prevailed against the Chinese immigrant.


Today, ""Chong Wah is the highest organization in the Chinese community -- just like City,"" explained Ling Mar, chairperson of Chong Wah's Community Affairs committee. The Chong Wah Board of Trustees is comprised of about 54 persons representing 27 different Chinese associations, societies, and organizations in the Chinese community. Mar said only two or three organizations do not belong to the Chong Wah Benevolent Society. As such, he said, ""Chong Wah represents the majority of the Chinese community.""


Chong Wah deals with matters affecting the Chinese community. ""Decisions,"" says Mar, ""are discussed and decided by the Board.""


Chow Role Clarified


In answer to a frequently asked question, Mar replied, ""Ruby Chow does not run Chong Wah. While it is true that she is certainly most vocal and that she does carry a lot of influence, the Board of Trustees is comprised of 54 individuals, each it is hoped, with their own independent minds to make decisions.""


In fact, there are those who say that Ling Mar is one of the most influential persons in Chong Wah, if not the most influential. Because of contacts with prominent downtown businessmen and other ""important"" people, it has been said that Ling Mar has the last word on decisions in Chong Wah.


Preservation of Chinatown's identity and character is the foremost objective of Chong Wah today. ""The area,"" stated Mar, ""must retain its identity. We (Chong Wah) have a responsibility to maintain Chinatown as an ethnic identification. We do not want to make it a melting pot. The area at the core of the International District is Chinatown -- most of the organizations are Chinese, most of the businesses are Chinese, and most of the property is owned by the Chinese. It has a long history of being Chinese.""


""The International District,"" continued Mar, ""was created by some mayor who arbitrarily set guidelines, fixed boundary lines, and decided to call it ""International District."" We have no quarrel with the other ethnics in the community, but it is important to retain the identity of the area as Chinatown.""


ID Concept Won't Work


Mar believes, ""The International District concept won't work in reality."" By mixing many ethnic groups in one area, the community would ""lose its ethnic identity.""


""We are going to fight like hell,"" said Mar, ""if any group wants to infringe on the Chinatown character, specifically for any group that sets guidelines, restrictions, or regulations that will impede the growth of the community.""


Citing one example, Mar referred to a proposition that all Association headquarters could not exist at street level. The idea was for these Associations to move back 60 feet or relocate upstairs, off street level Mar said. ""We have been here for years. Chinese folks made it grow. Then these people come in and tell us how to run these businesses.""


As for the future of the International District, Chong Wah has definite plans. In looking ahead, they have purchased property next to Chong Wah headquarters. Mar elaborated. ""We want to put in medical facilities for the elders and a recreational center such as a gym for the youth. We want to be able to help the community.""


No Position on Stadium


Chong Wah has no definite position on the Domed Stadium. Mar said that while individual members have their own ideas, Chong Wah, as a body, has never come up with a formal statement. The reason? Mar replied, ""It has never come up for discussion. Someone can bring it up for discussion, but it never has in the past."" Mar believed that while the stadium would have some impact on businesses, traffic, and in other areas, it won't wipe Chinatown out.


As for housing conditions, it was mentioned previously that much of the property in the International District is owned by the Chinese. Mar said that one of Chong Wah's future goals is the redevelopment of the community. For example, Mar stated that pressure would be put to property owners in the effort to preserve and redevelop Chinatown.


Relations with other elements in the community are ""fairly good and open,"" said Mar. ""We don't have an isolationist policy. We are willing to work with other groups in the community if and when the need arises.""


Although misunderstandings have occurred in the past, Mar said, ""We are doing what we have to do for the community -- just as others are doing what they can do within their own jurisdiction Our position is, ""Let me do my own thing, you can do yours.""


""The important thing,"" said Mar, ""is that we want a place for the Chinese to come to. We want to preserve the cultural identity, the uniqueness, and the character of Chinatown.""


Photo (""The International District concept won't work in reality."")



","1976",1,1
"10","",1976-11-30,"International Examiner","







SAN FRANCISCO -- The Combined Asian-American Resources Project, Inc. (CARP) this month will release its first reprinted novel -- the story of a Nisei trying to find his way back into the American mainstream after having gone to prison rather than fighting for the U.S. during World War II.


The novel, ""No-No Boy,"" by John Okada, was originally published in Japan in 1957 Okada, a Nisei, was born and raised in Seattle. Many scenes in the novel are set in the International District.


Okada wrote that there were many reasons for his protagonist's refusal to fight for the American army. ""There is,"" Okada said, ""the bitterness of the evacuation, the unrelenting pressure of his fanatically pro-Japanese mother, the faith in his country which has been shattered and the ugliness of the knowledge of a prejudice hateful and mighty enough to uproot a thousand seemingly American homes.""


CARP considers Okada's novel one of the great works of American fiction. The organization seeks to publish other pioneer works of fiction plays and poetry by Asian American writers.


CARP, a non-profit, tax-exempt-organization, was founded by leffery Chan Frank Chin, Lawson Inada and Shawn Wong, the editors of ""Aiiieeeee! An Anthology of Asian American Writers.""



","1976",0,0
